record_id,产品品名,产地（国家）,产地（市）,产地（省）,单混,品名,品类一级,品类二级,商品链接,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,编号,规格,采集平台,采集时间,优惠到手价,口味,委托方,生产商,背面图片,外包装图片,箱规,赠品图片,备注
reccAAZZoJ,optzhBMgNg,中国,高邮,江苏,单,熟咸鸭蛋(FP),肉蛋水产,蛋类,#小程序://大润发优鲜/DCci7pjmnN54V4m,DRF-0001A,DRF,0001,A,企业微信截图_17520227509520.png,1.5,image.png,20250709-001,50g(1枚)/袋,大润发,1752024019000,,,,,,,,,
rectq2ENo8,optazq72vf,中国,苏州,江苏,单,卡士007益生菌酸奶,乳品烘焙,酸奶/乳酸菌,,HM-0001A,HM,0001,A,HM-0001A-3.jpg,12.8,HM-0001A-1.jpg,20250708-002,440g,盒马APP,1751960537000,10.24,柠檬甜橙味,卡士乳业（深圳）有限公司,卡士酸奶（苏州）有限公司,HM-0001A-2.jpg,,,,
recuQliFMyB112,optazq72vf,中国,苏州,江苏,单,卡士007益生菌酸奶,乳品烘焙,酸奶/乳酸菌,,HM-0001B,HM,0001,B,HM-0001B-3.jpg,12.8,HM-0001B-1.jpg,20250708-003,440g,盒马APP,1751960729000,10.24,原味,卡士乳业（深圳）有限公司,卡士酸奶（苏州）有限公司,HM-0001B-2.jpg,,,,
rec7tDisnM,opt3PT3v67,中国,湖州,浙江,单,100%番茄复合果蔬汁,酒水饮料,酒水饮料,,PDL-0001A,PDL,0001,A,微信图片_2025-07-08_155807_763.png,75,微信图片_2025-07-08_155708_267.png,20250708-004,1L,胖东来,1751961633000,,番茄味,许昌市胖东来超市有限公司,乐源健康科技有限公司,,微信图片_2025-07-08_155708_267.png,6瓶/箱,,
recHfjaZVt,optWbaKsYG,中国,湖州,浙江,单,100%橙汁,酒水饮料,酒水饮料,,PDL-0001D,PDL,0001,D,微信图片_2025-07-08_161405_163.png,87,微信图片_2025-07-08_161359_821.png,20250708-005,1L,胖东来,1751962612000,,橙子味,许昌市胖东来超市有限公司,乐源健康科技有限公司,,微信图片_2025-07-08_161355_499.png,6瓶/箱,,
reck4P1wuD,opt1qHI2L3,中国,南京,江苏,单,100%芒果复合果汁,酒水饮料,酒水饮料,,PDL-0001B,PDL,0001,B,微信图片_2025-07-08_160507_066.png,78,微信图片_2025-07-08_160459_911.png,20250708-006,1L,胖东来,1751961937000,,芒果味,许昌市胖东来超市有限公司,江苏统一企业有限公司,,微信图片_2025-07-08_160445_890.png,6瓶/箱,,
recJzvD22F,optuGLWSuY,中国,南京,江苏,单,100%葡萄复合果汁,酒水饮料,酒水饮料,,PDL-0001C,PDL,0001,C,微信图片_2025-07-08_161210_660.png,87,微信图片_2025-07-08_161206_143.png,20250708-007,1L,胖东来,1751962393000,,葡萄味,许昌市胖东来超市有限公司,江苏统一企业有限公司,,,6瓶/箱,,
recs6Ss5Nt,opt1t1VhXZ,中国,佛山,广东,单,盐焗味开心果,休闲食品,休闲食品,,PDL-0002A,PDL,0002,A,微信图片_2025-07-08_162059_778.jpg,79,微信图片_2025-07-08_162051_515.png,20250708-008,600g,胖东来,1751963113000,,盐焗味,许昌市胖东来超市有限公司,广东南兴天虹果仁制品有限公司,,,,,
recsJ5rkcN,optpb5FL8U,中国,绍兴,浙江,单,原味腰果仁,休闲食品,休闲食品,,PDL-0002B,PDL,0002,B,微信图片_2025-07-08_162645_516.png,159,微信图片_2025-07-08_162638_347.jpg,20250708-009,1.25kg,胖东来,1751963359000,,原味,许昌市胖东来超市有限公司,浙江佰宜农业科技有限公司,,,,,
recXSrclkb,optcGqFQRI,中国,佛山,广东,单,原味开心果,休闲食品,休闲食品,,PDL-0002C,PDL,0002,C,微信图片_2025-07-08_162952_444.jpg,79,微信图片_2025-07-08_162944_563.png,20250708-010,600g,胖东来,1751963547000,,原味,许昌市胖东来超市有限公司,广东南兴天虹果仁制品有限公司,,,,,
