record_id,产品品名,产地（国家）,产地（市）,产地（省）,优惠到手价,单混,口味,品名,品类一级,品类二级,委托方,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,生产商,编号,背面图片,规格,采集平台,采集时间,商品链接,外包装图片,箱规,赠品图片,备注,赠品,赠品机制
rectq2ENo8,optazq72vf,中国,苏州,江苏,10.24,单,柠檬甜橙味,卡士007益生菌酸奶,乳品烘焙,酸奶/乳酸菌,卡士乳业（深圳）有限公司,HM-0001A,HM,0001,A,HM-0001A-3.jpg,12.8,HM-0001A-1.jpg,卡士酸奶（苏州）有限公司,20250708-002,HM-0001A-2.jpg,440g,盒马APP,1752548792000,,,,,,,
recuQliFMyB112,optazq72vf,中国,苏州,江苏,10.24,单,原味,卡士007益生菌酸奶,乳品烘焙,酸奶/乳酸菌,卡士乳业（深圳）有限公司,HM-0001B,HM,0001,B,HM-0001B-3.jpg,12.8,HM-0001B-1.jpg,卡士酸奶（苏州）有限公司,20250708-003,HM-0001B-2.jpg,440g,盒马APP,1752548792000,,,,,,,
recLdZ8bKx,opt3FA7RD0,中国,赤峰市,内蒙古,14.9,单,奶皮子老酸奶,奶皮子老酸奶,乳品烘焙,冷藏酸奶,,DRF-,DRF,,,image.png,19.9,image.png,内蒙古维聪乳业有限公司,20250711-256,image.png,650g/罐,大润发,1752548792000,#小程序://大润发优鲜/sJHm2A1mbJyHf8p,,,,,,
recfzzOtxU,optbNeQLy4,中国,,,7.4,单,,希腊式干噎酸奶,乳品烘焙,冷藏酸奶,杭州自在蓝食品科技有限公司,DRF-,DRF,,,image.png,9.9,image.png,,20250711-257,image.png,100g/杯,大润发,1752548792000,#小程序://大润发优鲜/5odn9QxVdIoucIm,,,,,,
recbygaD0m,optBtHwVGJ,中国,,,7.4,单,蓝莓味,优诺蓝莓希腊酸奶,乳品烘焙,冷藏酸奶,,DRF-,DRF,,,image.png,9.9,image.png,,20250711-296,image.png,120g/杯,大润发,1752548792000,,,,,,,
rec7tDisnM,opt3PT3v67,中国,湖州,浙江,,单,番茄味,100%番茄复合果蔬汁,酒水饮料,酒水饮料,许昌市胖东来超市有限公司,PDL-0001A,PDL,0001,A,微信图片_2025-07-08_155807_763.png,75,微信图片_2025-07-08_155708_267.png,乐源健康科技有限公司,20250708-004,,1L,胖东来,1752548792000,,微信图片_2025-07-08_155708_267.png,6瓶/箱,,,,
recHfjaZVt,optWbaKsYG,中国,湖州,浙江,,单,橙子味,100%橙汁,酒水饮料,酒水饮料,许昌市胖东来超市有限公司,PDL-0001D,PDL,0001,D,微信图片_2025-07-08_161405_163.png,87,微信图片_2025-07-08_161359_821.png,乐源健康科技有限公司,20250708-005,,1L,胖东来,1752548792000,,微信图片_2025-07-08_161355_499.png,6瓶/箱,,,,
reck4P1wuD,opt1qHI2L3,中国,南京,江苏,,单,芒果味,100%芒果复合果汁,酒水饮料,酒水饮料,许昌市胖东来超市有限公司,PDL-0001B,PDL,0001,B,微信图片_2025-07-08_160507_066.png,78,微信图片_2025-07-08_160459_911.png,江苏统一企业有限公司,20250708-006,,1L,胖东来,1752548792000,,微信图片_2025-07-08_160445_890.png,6瓶/箱,,,,
recJzvD22F,optuGLWSuY,中国,南京,江苏,,单,葡萄味,100%葡萄复合果汁,酒水饮料,酒水饮料,许昌市胖东来超市有限公司,PDL-0001C,PDL,0001,C,微信图片_2025-07-08_161210_660.png,87,微信图片_2025-07-08_161206_143.png,江苏统一企业有限公司,20250708-007,,1L,胖东来,1752548792000,,,6瓶/箱,,,,
recQtX1bHJ,optVNIODrm,泰国,,,,单,,100%椰子水,酒水饮料,果汁/植物饮,,SM-,SM,,,椰子水1-标2.jpg,49.9,537175bc6980bbd5e0f4541e73150df5_compress.jpg,,20250709-056,,1L,山姆APP,1752548792000,,4b273bf048790cfec80194339346007c_compress.jpg,1L*6,,,,
recPcj2J2z,optu5litdc,中国,半顶山,河南,,单,,宝丰自由爱（白酒）,酒水饮料,酒水饮料,许昌市胖东来超市有限公司,PDL-,PDL,,,,450,微信图片_2025-07-09_130138_891.png,宝丰酒业有限公司,20250709-084,微信图片_2025-07-09_130144_437.png,500ml,胖东来,1752548792000,,微信图片_2025-07-09_130134_596.png,6瓶/箱,,,,
