record_id,product_name,product_id,field_name,image_index,file_token,file_name,file_size,file_type,download_url,tmp_url,local_path,download_success
reccAAZZoJ,熟咸鸭蛋(FP),20250709-001,正面图片,0,XwMCbud6loXtBHxuI8kc9hYJn5c,image.png,422385,image/png,https://open.feishu.cn/open-apis/drive/v1/medias/XwMCbud6loXtBHxuI8kc9hYJn5c/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=XwMCbud6loXtBHxuI8kc9hYJn5c&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250709-001_正面图片_0.png,True
reccAAZZoJ,熟咸鸭蛋(FP),20250709-001,标签照片,0,Dk37bkqv7oFO7sxKuGock5R7nHg,企业微信截图_17520227509520.png,129676,image/png,https://open.feishu.cn/open-apis/drive/v1/medias/Dk37bkqv7oFO7sxKuGock5R7nHg/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=Dk37bkqv7oFO7sxKuGock5R7nHg&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250709-001_标签照片_0.png,True
rectq2ENo8,卡士007益生菌酸奶,20250708-002,正面图片,0,RCTJbj3sPoLHBAxMDadcKsAhnXX,HM-0001A-1.jpg,97779,image/jpeg,https://open.feishu.cn/open-apis/drive/v1/medias/RCTJbj3sPoLHBAxMDadcKsAhnXX/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=RCTJbj3sPoLHBAxMDadcKsAhnXX&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250708-002_正面图片_0.jpg,True
rectq2ENo8,卡士007益生菌酸奶,20250708-002,背面图片,0,KrAXboFVBorWGuxj4C9cSEjonIc,HM-0001A-2.jpg,99210,image/jpeg,https://open.feishu.cn/open-apis/drive/v1/medias/KrAXboFVBorWGuxj4C9cSEjonIc/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=KrAXboFVBorWGuxj4C9cSEjonIc&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250708-002_背面图片_0.jpg,True
rectq2ENo8,卡士007益生菌酸奶,20250708-002,标签照片,0,X6k9bhZb0oxJoRxxPq4cTbzunRb,HM-0001A-3.jpg,197965,image/jpeg,https://open.feishu.cn/open-apis/drive/v1/medias/X6k9bhZb0oxJoRxxPq4cTbzunRb/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=X6k9bhZb0oxJoRxxPq4cTbzunRb&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250708-002_标签照片_0.jpg,True
recuQliFMyB112,卡士007益生菌酸奶,20250708-003,正面图片,0,XHgub9hzwohXPix8TIBceqMDnZf,HM-0001B-1.jpg,96890,image/jpeg,https://open.feishu.cn/open-apis/drive/v1/medias/XHgub9hzwohXPix8TIBceqMDnZf/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=XHgub9hzwohXPix8TIBceqMDnZf&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250708-003_正面图片_0.jpg,True
recuQliFMyB112,卡士007益生菌酸奶,20250708-003,背面图片,0,GB82bggSMo0Ys3xoqjNcHks0nkb,HM-0001B-2.jpg,102645,image/jpeg,https://open.feishu.cn/open-apis/drive/v1/medias/GB82bggSMo0Ys3xoqjNcHks0nkb/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=GB82bggSMo0Ys3xoqjNcHks0nkb&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250708-003_背面图片_0.jpg,True
recuQliFMyB112,卡士007益生菌酸奶,20250708-003,标签照片,0,TTBibwypVoXJA9xD74QcNSz5nKg,HM-0001B-3.jpg,210951,image/jpeg,https://open.feishu.cn/open-apis/drive/v1/medias/TTBibwypVoXJA9xD74QcNSz5nKg/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=TTBibwypVoXJA9xD74QcNSz5nKg&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250708-003_标签照片_0.jpg,True
rec7tDisnM,100%番茄复合果蔬汁,20250708-004,正面图片,0,AcwHbtB44ohvfPxhM4gcXJ7zn2I,微信图片_2025-07-08_155708_267.png,375133,image/png,https://open.feishu.cn/open-apis/drive/v1/medias/AcwHbtB44ohvfPxhM4gcXJ7zn2I/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=AcwHbtB44ohvfPxhM4gcXJ7zn2I&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250708-004_正面图片_0.png,True
rec7tDisnM,100%番茄复合果蔬汁,20250708-004,标签照片,0,YPg4by5rnodsH2xafTMcFSh0nIn,微信图片_2025-07-08_155807_763.png,69057,image/png,https://open.feishu.cn/open-apis/drive/v1/medias/YPg4by5rnodsH2xafTMcFSh0nIn/download?extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,https://open.feishu.cn/open-apis/drive/v1/medias/batch_get_tmp_download_url?file_tokens=YPg4by5rnodsH2xafTMcFSh0nIn&extra=%7B%22bitablePerm%22%3A%7B%22tableId%22%3A%22tblwdwrZMikMRyxq%22%2C%22rev%22%3A2778%7D%7D,product-showcase/public/images/20250708-004_标签照片_0.png,True
