Product ID,Product Name,Platform,Category,Missing Fields
"reccAAZZoJ","Cooked salted duck eggs (FP)","大润发","肉蛋水产","口味, 生产商"
"recSIMFoD4","Preserved eggs with pine flower flavor","大润发","肉蛋水产","口味, 生产商"
"recusdDm8K","Pressed first-grade peanut oil","胖东来","粮油干调","口味"
"recWSuLZNV","Sunflower oil with zero trans fat","胖东来","粮油干调","口味"
"recEY0ZC9N","Dried apples","山姆APP","休闲零食","口味, 生产商"
"recQtX1bHJ","100% Coconut water","山姆APP","酒水饮料","口味, 生产商"
"recPcj2J2z","Baofeng Free Love (Baijiu)","胖东来","酒水饮料","口味"
"recZKuhdMR","Craft black beer","胖东来","酒水饮料","口味"
"recfgjPAKS","Craft wheat beer","胖东来","酒水饮料","口味"
"recdNEzVxJ","Coconut water","山姆APP","酒水饮料","口味, 生产商"
"rechixM3PZ","Craft wheat beer","胖东来","酒水饮料","口味"
"recnrLbrbJ","Coconut drink","山姆APP","酒水饮料","口味, 生产商"
"recEPv0sT6","Dried red dragon fruit","山姆APP","休闲零食","口味"
"rec03L0cs9","Freshly extracted freeze-dried hazelnuts","山姆APP","休闲零食","口味"
"recjulYPLB","Jiaguoyuan 100% NFC Black Diamond Pineapple Juice","山姆APP","酒水饮料","口味"
"recRPLG1Yf","Pine mushroom crispy sunflower kernels","山姆APP","休闲零食","口味"
"rec44iYdJE","YangShengTang Birch Tree Sap","山姆APP","酒水饮料","口味"
"rechgC5KR5","Heytea Kale and Cucumber Compound Fruit and Vegetable Juice Drink","山姆APP","酒水饮料","口味"
"recqHY5CEk","Chilean seedless prunes","山姆APP","休闲零食","口味, 生产商"
"recAgc4T9s","Daily nuts (nuts + dried fruits)","山姆APP","休闲零食","口味"
"recPw3sGe9","Organic fruit juice, dried blueberries","山姆APP","休闲零食","口味"
"recJ0sfa20","Dole Small Dried Mandarins","山姆APP","休闲零食","口味"
"recexGxJNE","Organic savory peanuts","山姆APP","休闲零食","口味"
"recS5oC1J8","Apple and Astragalus Drink","山姆APP","酒水饮料","口味"
"recgF69wR0","Member's Mark Apple Juice","山姆APP","酒水饮料","口味, 生产商"
"recEE6E3C2","Dole Turkish Dried Apricots","山姆APP","休闲零食","口味"
"recXcG3YSt","Organic freeze-dried strawberries","山姆APP","休闲零食","口味"
"recbze5e6N","Organic chestnut kernels","山姆APP","休闲零食","口味"
"rec7LAQJ7s","Snow pear and loquat syrup","山姆APP","酒水饮料","口味"
"recuvHQXhK","Chocolate milk drink","山姆APP","酒水饮料","口味"
"recLZaX6e0","Succulent Juicy Grapefruit Mixed Fruit Juice Drink","山姆APP","酒水饮料","口味"
"rec7auo3fM","100% NFC Orange Juice","山姆APP","酒水饮料","口味"
"rec5VqTHCj","Nut milk plant protein beverage","山姆APP","酒水饮料","口味"
"recvJ47BgP","Freeze-dried lemon slices with honey","大润发","休闲食品","口味"
"rec5sYwfGA","Organic large oat flakes","大润发","麦片","口味"
"recfzzOtxU","Greek-style strained yogurt","大润发","乳品烘焙","口味, 生产商"
"recOGf7NkT","Shandong Sweet Potato Noodles","大润发","方便速食","口味"
"recJGEfmhY","Daily Freshness Dairy Little Freshness 4.0 Low-Fat Fresh Milk","猫超","牛奶饮品","口味, 生产商"
"recxVWvI5d","Rice from the cold regions of Northeast China","大润发","粮油干调","口味"
"recke6g2i1","Low-sugar Coconut and Nut Crisps","大润发","休闲零食","口味"
"reczNNMLe5","Spiced Braised Duck Tongues","大润发","休闲零食","口味"
"recwmNhDRx","Shanlihong Hawthorn Juice","大润发","酒水饮料","口味"
"reclZYBP6i","Low-sugar Amber Walnuts","大润发","休闲零食","口味"
"recwETHjus","Spiced Braised Duck Neck","大润发","休闲零食","口味"
